ID,Quote,Author,Emotion/Theme,Suggested visual,,Image Link,Mood Tag
ldi_00001,âYou donât have to control your thoughts. You just have to stop letting them control you.â,Dan Millman,"Anxiety, Mindfulness",A person sitting peacefully under a tree with swirling thoughts dissolving into butterflies,,https://drive.google.com/file/d/1qQ0A7FGlBeZpf2dRLN5qMniFxKZ_uNGf/view?usp=sharing,"Anxiety, Mindfulness"
ldi_00002,"âHealing takes time, and asking for help is a courageous step.â",Mariska Hargitay,"Healing, Support",Open hands releasing light into a soft sky,,https://drive.google.com/file/d/1lHMF-RZASp7JmSPniNhhHM28ZLtOGLdv/view?usp=drive_link,"Healing, Support"
ldi_00003,âAlmost everything will work again if you unplug it for a few minutesâ¦ including you.â,Anne Lamott,"Self-Care, Burnout",A cozy cabin in the woods with a book and tea,,https://drive.google.com/file/d/1fGsC1aNZIO9TNqxO2n-LGcjsx5nOQsmU/view?usp=drive_link,"Self-Care, Burnout"
ldi_00004,âYou are not a drop in the ocean. You are the entire ocean in a drop.â,Rumi,"Self-Worth, Spiritual Growth",Water droplet reflecting a galaxy,,https://drive.google.com/file/d/1AUerei1iPPmR4j2YUxecbE3mFZbq0ZWq/view?usp=drive_link,"Self-Worth, Spiritual Growth"
ldi_00005,âFeelings are much like waves. We canât stop them from coming but we can choose which ones to surf.â,Jonatan MÃ¥rtensson,Emotional Awareness,Surfer riding a gentle wave during sunset,,https://drive.google.com/file/d/1rmeVFS0FSKEOSnMdpIrFCOoEtr0R15K0/view?usp=drive_link,Emotional Awareness
ldi_00006,"âJust when the caterpillar thought the world was over, it became a butterfly.â",Anonymous,"Transformation, Resilience",A butterfly emerging from a cocoon surrounded by flowers,,https://drive.google.com/file/d/1yoG0-Utf_LtJwdFV0eOkcpqFSoR1D9YK/view?usp=drive_link,"Transformation, Resilience"
ldi_00007,âYour mind will answer most questions if you learn to relax and wait for the answer.â,William S. Burroughs,"Reflection, Patience",A peaceful night sky with stars and a meditating figure,,https://drive.google.com/file/d/17-AQnMoLXa-p0BHx4N49CkEAU2hZh70c/view?usp=drive_link,"Reflection, Patience"
ldi_00008,âYou carry so much love in your heart. Give some to yourself.â,R.Z.,"Self-Love, Compassion",A heart-shaped aura surrounding a person with their hands on their chest,,https://drive.google.com/file/d/105vqLvZPswMr-lDmiSujo5bzBHg022us/view?usp=drive_link,"Self-Love, Compassion"
ldi_00009,âWhat lies behind us and what lies before us are tiny matters compared to what lies within us.â,Ralph Waldo Emerson,"Strength, Empowerment",A glowing figure in a forest looking ahead with inner light,,https://drive.google.com/file/d/15xPWCHNL7yvwGeavbHW88KVIoL2rA_1r/view?usp=drive_link,"Strength, Empowerment"
ldi_00010,âEvery day may not be goodâ¦ but thereâs something good in every day.â,Alice Morse Earle,"Positivity, Gratitude",A sunbeam breaking through clouds over a field,,https://drive.google.com/file/d/13ujkCXXytI3G-N3ZFVsTYJxtsCVg4Foo/view?usp=drive_link,"Positivity, Gratitude"
ldi_00011,"âNo one is you, and that is your power.â",Dave Grohl,"Confidence, Identity",A unique colorful silhouette standing out in a crowd of greyscale people,,https://drive.google.com/file/d/1WJ9DF0GkL-YqSm8SvhWWo8AL9rKEOpAl/view?usp=drive_link,"Confidence, Identity"
ldi_00012,âThere is no greater agony than bearing an untold story inside you.â,Maya Angelou,"Expression, Journaling",A person writing in a journal with words floating around them like stars,,https://drive.google.com/file/d/1BAI0gHvgTh5sN-sX6PyeVGvDg7M0IAe9/view?usp=drive_link,"Expression, Journaling"
ldi_00013,âYou deserve to take up space.â,Unknown,"Self-Worth, Validation",A person standing tall in an open field with wide skies above,,https://drive.google.com/file/d/10lnyHxeqTWYWNlyi36IgIEqzqik822re/view?usp=drive_link,"Self-Worth, Validation"
ldi_00014,âItâs okay to rest. You are not a machine.â,Nakeia Homer,"Self-Care, Boundaries",A cozy bed under twinkling lights and a sleeping cat,,https://drive.google.com/file/d/10V9EbA2TT2LKIkM9yx5k5PVuzJafucEc/view?usp=drive_link,"Self-Care, Boundaries"
ldi_00015,âThe wound is the place where the light enters you.â,Rumi,"Healing, Acceptance",A cracked heart glowing softly with golden light,,https://drive.google.com/file/d/120tqjfH-XOGSamZmuwyh5RBNJxoMZVLT/view?usp=drive_link,"Healing, Acceptance"
ldi_00016,“Sometimes the bravest thing you can do is just show up.”,Brené Brown,"Courage, Presence","A person standing in the rain, facing forward with calm determination, umbrella at their side",,https://drive.google.com/file/d/1BAI0gHvgTh5sN-sX6PyeVGvDg7M0IAe9/view?usp=drive_link,"Courage, Presence"
ldi_00017,"“You don’t have to be positive all the time. It’s okay to feel sad, angry, annoyed, or anxious. It doesn’t make you a bad person.”",Lori Deschene,"Emotional Honesty, Self-Acceptance","A person holding a glowing jar of emotions, each in a different color, surrounded by a calming environment",,https://drive.google.com/file/d/1QhEhvYk-sInfOWVkGgQT0XTkTfwKO1jG/view?usp=drive_link,"Emotional Honesty, Self-Acceptance"
ldi_00018,"“There is hope, even when your brain tells you there isn’t.”",John Green,"Hope, Mental Health",A person sitting in the dark with a glowing doorway or sunrise in the distance,,https://drive.google.com/file/d/1qb8THpY1FfKvP7Xw678bQo3FPuQnlVFZ/view?usp=drive_link,"Hope, Mental Health"
ldi_00019,“You are not broken. You are breaking through.”,Alex Myles,"Empowerment, Healing",A person cracking open from a shell with radiant light emerging from within,,https://drive.google.com/file/d/1P_Mgfm4x0o0GHCQbIBXAdo9MVZ6o3a5v/view?usp=drive_link,"Empowerment, Healing"
ldi_00020,“Self-care is how you take your power back.”,Lalah Delia,"Boundaries, Self-Care",A person gently placing a crown on their own head in a softly lit room filled with calming elements,,https://drive.google.com/file/d/1GMItyF48ie3miKQLixfBYAJjTKY5di1a/view?usp=drive_link,"Boundaries, Self-Care"
ldi_00021,“You’re not too much. You’re not too sensitive. Your feelings are valid.”,Unknown,"Emotional Validation, Sensitivity","A person being comforted by a glowing aura, their emotions forming stars around them",,https://drive.google.com/file/d/1Pb2t6oxcfUgVbHQFM6MqsTKDemfAY9je/view?usp=drive_link,"Emotional Validation, Sensitivity"
ldi_00022,“You are enough. You have always been enough.”,Unknown,"Self-Worth, Reassurance","A person standing in front of a mirror, their reflection glowing brightly with light",,https://drive.google.com/file/d/1BHCRmEWXBfotZTnUWBkKPs01xsLzgRTg/view?usp=drive_link,"Self-Worth, Reassurance"
ldi_00023,“Be proud of how you’ve been handling these past few months.”,Unknown,"Resilience, Self-Compassion",A person walking a winding path surrounded by fading storm clouds and sunlight breaking through,,https://drive.google.com/file/d/17UmuY13vnrQIYlNE8H73MIMmE1X8tLVg/view?usp=drive_link,"Resilience, Self-Compassion"
ldi_00024,“You grow through what you go through.”,Tyrese Gibson,"Growth, Resilience",A plant growing through a crack in the pavement toward sunlight,,https://drive.google.com/file/d/1mwAmWHG2j_GkShMc5v3jotMtbJKU7rh-/view?usp=drive_link,"Growth, Resilience"
ldi_00025,“You can be a mess and still be a masterpiece.”,Unknown,"Wholeness, Acceptance",A partially abstract painting of a person surrounded by scattered but vibrant brush strokes,,https://drive.google.com/file/d/1HQ5IIh9SjM2VWZfeOEAlhdLNWd36aPqC/view?usp=drive_link,"Wholeness, Acceptance"
ldi_00026,“You are doing better than you think.”,Unknown,"Reassurance, Encouragement","A person climbing a hill with the sun beginning to rise behind them, unaware they’re near the top",,https://drive.google.com/file/d/1BjCGycERr9jgeSRXOdZup5Gb3ASd3Ulj/view?usp=drive_link,"Reassurance, Encouragement"
ldi_00027,“Your value doesn’t decrease based on someone’s inability to see your worth.”,Unknown,"Self-Worth, Empowerment",A glowing figure standing strong among shadows that blur or overlook them,,https://drive.google.com/file/d/1NCNJtV6Ydg07df-n_mYWgAoyvV_V-VhV/view?usp=drive_link,"Self-Worth, Empowerment"
ldi_00028,“Rest is productive.”,The Nap Ministry,"Burnout Recovery, Self-Care","A cozy bedroom or hammock under soft moonlight, with a resting figure surrounded by stars or affirmations",,https://drive.google.com/file/d/1H0rcxRiX_S3YC7xkC1cVmkrkLARwy2Cz/view?usp=drive_link,"Burnout Recovery, Self-Care"
ldi_00029,“Not everything that weighs you down is yours to carry.”,Unknown,"Boundaries, Letting Go","A person setting down a heavy, glowing backpack beside a peaceful path",,https://drive.google.com/file/d/1RR4qnpehoS3LiH5tEgz-_U6zQrBVwGT0/view?usp=drive_link,"Boundaries, Letting Go"
ldi_00030,“Let yourself be proud of small things.”,Unknown,"Mindfulness, Growth",A person smiling gently while watering a small plant that has just begun to bloom,,https://drive.google.com/file/d/1jbTPtSTuhrG3R6ss7BLECcqQ7SNZx2QO/view?usp=drive_link,"Mindfulness, Growth"
ldi_00031,“You can feel anxious and still show up.”,Unknown,"Anxiety, Bravery","A person walking into a softly lit room filled with people, holding a small glowing light close to their chest",,https://drive.google.com/file/d/1Dux0KTFG-ilYA1k2_weTeUoRXZSXg38C/view?usp=drive_link,"Anxiety, Bravery"
ldi_00032,“You don’t need permission to rest.”,Unknown,"Self-Permission, Rest","A person lying peacefully in a field of wildflowers, eyes closed, sun on their face",,https://drive.google.com/file/d/1vJRSA501YsASLNnvEeVqv86KqJvTDdPa/view?usp=drive_link,"Self-Permission, Rest"
ldi_00033,"“Every step forward counts, even if it’s small.”",Unknown,"Progress, Patience",A winding path with gentle footprints leading toward a bright sunrise over the horizon,,https://drive.google.com/file/d/18buNrgArZ6AJKxRe9MiPM3YO1-zM-PI-/view?usp=drive_link,"Progress, Patience"
ldi_00034,"“You are not alone, even when it feels like it.”",Unknown,"Connection, Hope","A person sitting with their arms around their knees, as faint glowing figures of support appear around them",,https://drive.google.com/file/d/1YDmQ0wWAQClO5g7jAnI1DAAveUq1NW4V/view?usp=drive_link,"Connection, Hope"
ldi_00035,"“You are worthy of love, even on the days you don’t feel it.”",Unknown,"Self-Love, Worthiness",A heart-shaped aura gently encircling a person with closed eyes and a soft expression of vulnerability,,https://drive.google.com/file/d/1HvjM7hiF0xQ7RPXyOot2dw2mlMLZUnlD/view?usp=drive_link,"Self-Love, Worthiness"
ldi_00036,“You don’t need to fix yourself. You were never broken.”,Unknown,"Healing, Self-Acceptance","A person standing whole, with light emerging from within cracks in their skin — glowing and complete",,https://drive.google.com/file/d/1Ux0rCO3fE9dRij9cb1d3byYXUC3yOBwT/view?usp=drive_link,"Healing, Self-Acceptance"
ldi_00037,“You are allowed to be both a masterpiece and a work in progress.”,Sophia Bush,"Wholeness, Growth","A dual-toned portrait: one side polished and glowing, the other still being painted",,https://drive.google.com/file/d/1MpooXp-PxxlNnSDQuQLgxeYu1_JrVZXB/view?usp=drive_link,"Wholeness, Growth"
ldi_00038,“Take time to do what makes your soul happy.”,Unknown,"Joy, Self-Connection","A person dancing or painting under the sunlight, surrounded by nature",,https://drive.google.com/file/d/160dwLwDFX_LCTskURPpIGNnZGdBz68PF/view?usp=drive_link,"Joy, Self-Connection"
ldi_00039,“It’s okay to ask for help. You don’t have to do it all alone.”,Unknown,"Support, Vulnerability","A hand reaching down to another from above, with warm light in the background",,https://drive.google.com/file/d/1iwnZW0v5MtRY53CGh7ifqXLfIAaoMY0H/view?usp=drive_link,"Support, Vulnerability"
ldi_00040,“You survived the days you thought you couldn’t.”,Unknown,"Resilience, Survival",A figure standing tall in front of a stormy landscape that is now clearing into calm skies,,https://drive.google.com/file/d/1PMX105I74mZtG43aMTYCal3pmyK1SL8o/view?usp=drive_link,"Resilience, Survival"
ldi_00041,“Your pace is perfect for your path.”,Unknown,"Patience, Trust",A quiet trail winding through a peaceful forest with a single person walking at their own pace,,https://drive.google.com/file/d/1E0BvACa49Nibr39hUEy9H3e6dNvKf7j6/view?usp=drive_link,"Patience, Trust"
ldi_00042,“You don’t have to have it all figured out to move forward.”,Unknown,"Uncertainty, Progress","A person walking through mist, stepping forward on a path that slowly appears as they walk",,https://drive.google.com/file/d/15QGLXlw2RRl19WwAMx0L8-wdXjhPA8me/view?usp=drive_link,"Uncertainty, Progress"
ldi_00043,"“You are allowed to outgrow people, places, and versions of yourself.”",Unknown,"Transformation, Letting Go","A butterfly flying away from an open hand, with fading versions of the same person behind it",,https://drive.google.com/file/d/1owIMwrdN0y8JhpBkCjNOPjvccrqao6iS/view?usp=drive_link,"Transformation, Letting Go"
ldi_00044,“You are not behind. You’re exactly where you need to be.”,Unknown,"Presence, Reassurance","A calm clock with no hands floating in a serene sky, a person sitting peacefully below",,https://drive.google.com/file/d/1zI41DOg59mmR0hO6bvLuG50hp27PAOVu/view?usp=drive_link,"Presence, Reassurance"
ldi_00045,"“Healing isn’t linear, and that’s okay.”",Unknown,"Recovery, Self-Compassion","A winding staircase with flowers growing along the edges, leading up toward soft light",,https://drive.google.com/file/d/1__17W7dx1gH5rsbjALIH0fjzraQ_JSbY/view?usp=drive_link,"Recovery, Self-Compassion"
ldi_00046,“You are not too much. You are enough.”,Unknown,"Validation, Belonging","A person surrounded by bold colors, standing confidently while shadowy words fade behind them",,https://drive.google.com/file/d/1UHV-d_WbdB27oWylpSAwB0BgQ2ItcQJ5/view?usp=drive_link,"Validation, Belonging"
ldi_00047,“You are more than your productivity.”,Unknown,"Self-Worth, Burnout","A person resting in a hammock, surrounded by books, tea, and flowers — peaceful and unbothered",,https://drive.google.com/file/d/10t9G6embyEe_mHHlY03xTmTSffrN2VmC/view?usp=drive_link,"Self-Worth, Burnout"
ldi_00048,"“Some days, just getting out of bed is a win.”",Unknown,"Low-Energy Days, Small Wins","A person wrapped in a blanket, looking out the window at morning light, with a mug in hand",,https://drive.google.com/file/d/1RNUYh8Iq9UGUl7iarOL4RDIgTwYoZpqb/view?usp=drive_link,"Low-Energy Days, Small Wins"
ldi_00049,“Trust the timing of your life.”,Unknown,"Patience, Trust","A person standing at the edge of a river, watching the current flow with a gentle expression",,https://drive.google.com/file/d/1X-1ycOHvtXA_kV-PtHkB4wK9aVrKyKMI/view?usp=drive_link,"Patience, Trust"
ldi_00050,“The way you speak to yourself matters.”,Unknown,"Self-Talk, Kindness",A person looking into a mirror with affirmations gently glowing around them,,https://drive.google.com/file/d/1FThsedBRAKt5b5hSqz_KV4S5PY810C9p/view?usp=drive_link,"Self-Talk, Kindness"
